latitude,longitude,name,provider,full_address,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity,state,facility_type_orig,log_power,log_area,ftype_Building,ftype_Campus,ftype_Individual,aggregated_power_imputed
43.5964038,-79.63697959999999,CentriLogic · Canadian Head Office (South),CentriLogic,"2 Robert Speck Parkway, Suite 500, Mississauga, ON, Canada",1,,,1978.0,datacenterhawk,1.0,1.0,Mississauga,Individual,,,False,False,True,
43.6013417,-79.5371766,eStruxture · TOR-3,Toronto Hydro,"431 Horner Avenue, Etobicoke, ON, Canada",1,,,1980.0,datacenterhawk,1.0,1.0,ON,Individual,,,False,False,True,
43.6016257,-79.5290007,Compass Datacenters · 75-77 Fima Crescent,Compass,"75-77 Fima Crescent, Etobicoke, ON, Canada",1,,213171.0,1966.0,datacenterhawk,1.0,1.0,ON,Individual,2.6463077068328857,12.269854630566462,False,False,True,13.101874147770776
43.6033198,-79.7353926,Sungard Availability Services · Toronto-1800,Sungard Availability Services,"1800 Argentia Road, Mississauga, ON, Canada",1,,85000.0,1989.0,datacenterhawk,1.0,1.0,ON,Individual,1.071747064590454,11.350418300109132,False,False,True,1.9204773080725066
43.6062132,-116.3036026,Centeris · Boise,Centeris,"9700 Bethel Court, Boise, ID, USA",1,,60252.0,1981.0,datacenterhawk,1.0,1.0,ID,Individual,1.3101797103881836,11.006307642644416,False,False,True,2.7068398099772475
43.607991,-116.3102611,Tonaquint · 10215 Emerald St,"Cogent Communications, CenturyLink, Syringa Networks","10215 Emerald St, Boise, ID, USA",2,3.0,50000.0,2000.0,datacenterhawk; datacenters.com,1.0,1.0,ID,Individual,1.3862943611198906,10.819798284210286,False,False,True,3.0
43.62826,-79.66994,CentriLogic · North,CentriLogic,"215 Traders Blvd. E., Unit 11, Mississauga, ON, Canada",1,,15000.0,1988.0,datacenterhawk,1.0,1.0,Mississauga,Individual,0.6699880957603455,9.61587214452889,False,False,True,0.9542140570650006
43.6387869,-79.6088939,Hut 8 · GTA1 - Mississauga,Hut8,"4701 Tahoe Blvd, Suite 201, Mississauga, ON, Canada",1,1.7,318297.0,2007.0,datacenterhawk,1.0,1.0,Mississauga,Individual,0.9932517730102834,12.670743329869985,False,False,True,1.7000000000000002
43.6415863,-79.4124214,beanfield Metroconnect · 905 King Street W,Toronto Hydro,"905 King Street W, Toronto, ON, Canada",5,,,1985.0,datacenterhawk,0.4801661910357562,0.4361363636363636,ON,Ambiguous/Flagged,,,False,False,False,
43.6425099,-79.3745239,"Amanah Tech Inc. · 1 Yonge Street, Floor 12",Toronto Hydro,"1 Yonge Street, Floor 12, Toronto, ON, Canada",1,,,1971.0,datacenterhawk,1.0,1.0,Toronto,Individual,,,False,False,True,
43.644382,-79.3875137,Telehouse · 250 Front Street West,Telehouse,"250 Front Street West, Toronto, ON, Canada",1,,,1988.0,datacenterhawk,1.0,1.0,ON,Individual,,,False,False,True,
43.6446361,-79.3842284,ColoCrossing · TOR1,Toronto Hydro,"151 Front Street West #402, Toronto, Canada",1,,325772.0,2003.0,datacenterhawk,1.0,1.0,Canada,Individual,2.5158703327178955,12.693956098787755,False,False,True,11.377376528424634
43.6446728,-79.3841283,3z Canada · YYZ01,Allied Data Centres,"151 Front Street West, Toronto, ON, Canada",13,,,1950.0,datacenterhawk,0.3792582960482729,0.5423326673326674,ON,Ambiguous/Flagged,,,False,False,False,
