latitude,longitude,name,provider,full_address,facility_type,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity
29.512525,-98.408594,San Antonio Data Center,"Five 9s Digital, LLC","8500 Vicar Drive, San Antonio, TX, 78218, USA",Individual,1,,25000.0,,datacentermap,1.0,1.0
29.52812131947728,-98.49248730408344,Lumen San Antonio 3,Lumen,"214 E Ramsey Rd, San Antonio, TX, 78216, USA",Individual,1,,,,datacentermap,1.0,1.0
29.692250890624603,-95.38002922493826,Energy Transfer Data Center,Energy Transfer,"7210 Ardmore, Houston, TX, 77054, USA",Individual,1,,,,datacentermap,1.0,1.0
29.7132566,-95.5504373,CBRE: 5959 Corporate Dr Data Center,CBRE,"5959 Corporate Drive, Houston, TX, USA",Individual,1,,,,datacentermap; datacenters.com,1.0,1.0
29.723697408163265,-95.50937391836734,Lighthouse Data Center,PS Lightwave,"3960 Braxton Dr, Houston, TX, 77063, USA",Individual,1,0.075,12000.0,,datacentermap,1.0,1.0
29.7281271,-95.445072,DataBank · HOU5 - Galleria,CyrusOne,"4201 Southwest Freeway, Houston, TX, USA",Building,2,0.0,112000.0,1969.0,datacenterhawk,1.0,1.0
29.7292139,-95.4535421,LOGIX Fiber Networks · 4635 Southwest Freeway,LOGIX Fiber Networks,"4635 Southwest Freeway, Houston, TX, USA",Individual,1,,,1971.0,datacenterhawk,1.0,1.0
29.729218,-95.453583,LOGIX Houston #3,LOGIX FIBER NETWORKS,"4635 Southwest Freeway, Houston, TX, 77027, USA",Individual,1,,1500.0,,datacentermap,1.0,1.0
29.730274775510207,-95.44736515306124,DataBank: HOU5 -Houston Galleria Data Center,DataBank,"4201 Southwest Freeway, Houston, TX, 77027, USA",Individual,1,5.0,112000.0,,datacenters.com,1.0,1.0
29.7331639,-95.4170334,Verizon Houston,,"Verizon Communications Inc. 2401 Portsmouth St, Houston, TX, USA",Individual,1,,,,datacentermap,1.0,1.0
29.74926049999999,-95.4723059,Switch · Houston 1,Switch,"5555 San Felipe Drive, Houston, TX, USA",Individual,1,,8000.0,1983.0,datacenterhawk; datacentermap,1.0,1.0
29.7493564,-95.4715705,Switch Data Centers: Houston 1 Data Center,,"5555 San Felipe Street, Houston, TX, USA",Individual,1,,,,datacenters.com,1.0,1.0
29.7533755,-95.3657529,"Netrality Data Centers · 1301 Fannin Street, Suite 1100",Reliant,"1301 Fannin Street, Suite 1100, Houston, TX, USA",Individual,3,,,1981.0,datacenterhawk; datacenters.com,1.0,1.0
