unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
lightedge-phoenix,datacenters.com,LightEdge: Phoenix Data Center,LightEdge,120 East Van Buren Street,Phoenix,,AZ,USA,5502 sqft total space,4854 sqft colocation space,,,,"HIPAA, HITRUST CSF, ISO 22301, ISO 27001, ISO/IEC 20000, NIST 800-53, PCI DSS, SOC 1, SOC 2, SOC 3",https://www.datacenters.com/lightedge-phoenix,,5502.0
equinix-da4-dallas,datacenters.com,,,,,,,,,,,,,,https://www.datacenters.com/equinix-da4-dallas,,
h5-cincinnati,datacenters.com,H5 Data Centers: Cincinnati Data Center,H5 Data Centers,360 Gest Street,Cincinnati,,OH,USA,80000 sqft total space,60000 sqft colocation space,,,,"ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/h5-cincinnati,,80000.0
otava-ann-arbor,datacenters.com,Otava: Ann Arbor Data Center,,640 Avis Drive,Ann Arbor,,MI,USA,10500 sqft total space,7500 sqft colocation space,,,,"HIPAA, HITECH, HITRUST CSF, ISO 27001, PCI DSS, SOC 1, SOC 2, SOC 3, SSAE 18",https://www.datacenters.com/otava-ann-arbor,,10500.0
hopone-cherryroad-dca2-mclean,datacenters.com,HopOne @CherryRoad: DCA2 McLean Data Center,HopOne @CherryRoad,8201 Greensboro Drive,Tysons,,VA,USA,,1230 sqft,,,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 16 Type 2, SSAE 18",https://www.datacenters.com/hopone-cherryroad-dca2-mclean,,1230.0
cogent-communications-cleveland,datacenters.com,Cogent Communications: Cleveland Data Center,Cogent Communications,1621 Euclid Avenue,Cleveland,,OH,USA,220000 sqft total space,5000 sqft colocation space,,,,,https://www.datacenters.com/cogent-communications-cleveland,,220000.0
centersquare-iad2-sterling-campus,datacenters.com,Not Available,,22810 International Drive,Sterling,,VA,USA,556457 sqft,556457 sqft,,47.0 MW,,"FedRAMP, FISMA, HITECH, ISO 27001, NIST 800-53, PCI DSS, SOC 1, SOC 1 Type 2, SOC 2, SOC 2 Type 1, SOC 2 Type 2, SSAE 16 Type 1, SSAE 16 Type 2, SSAE 18",https://www.datacenters.com/centersquare-iad2-sterling-campus,47.0,556457.0
equinix-sv17-silicon-valley,datacenters.com,Equinix: SV17 Silicon Valley Data Center,Equinix,3030 Corvin Drive,Santa Clara,,CA,USA,95000 sqft total space,40205 sqft colocation space,,9.0 MW total power,,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/equinix-sv17-silicon-valley,9.0,95000.0
cogent-communications-atlanta,datacenters.com,Cogent Communications: Atlanta Data Center,Cogent Communications,55 Marietta St NW,Atlanta,,GA,USA,7826 sqft total space,7826 sqft colocation space,,,,,https://www.datacenters.com/cogent-communications-atlanta,,7826.0
equinix-de1-englewood,datacenters.com,Equinix: DE1 Englewood Data Center,Equinix,9706 East Easter Avenue,Centennial,,CO,USA,18900 sqft total space,12111 sqft colocation space,,,,"FISMA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/equinix-de1-englewood,,18900.0
psychz-networks-dallas,datacenters.com,Psychz Networks: Dallas Data Center,Psychz Networks,1515 Round Table Drive,Dallas,,TX,USA,60000 sqft total space,60000,,10MW,Enterprise,"HIPAA, PCI DSS",https://www.datacenters.com/psychz-networks-dallas,10.0,60000.0
cogent-communications-phoenix,datacenters.com,Cogent Communications: Phoenix Data Center,Cogent Communications,3410 East University Drive,Phoenix,,AZ,USA,,,,,,,https://www.datacenters.com/cogent-communications-phoenix,,
digital-realty-boston-bos16,datacenters.com,Digital Realty: Boston BOS16 Data Center,Digital Realty,105 Cabot Street,Needham,,MA,USA,133000 sqft,40000 sqft,,10.0 MW,,"HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 2, SOC 3",https://www.datacenters.com/digital-realty-boston-bos16,10.0,133000.0
