unique_key,source,name,provider,streetaddress,city,zipcode,state,country,whitespace,area,yearbuilt,power,scale,certifications,url,power_standardized,area_standardized,full_address,latitude,longitude
24shells-inc-lax,datacenters.com,24Shells Inc: LAX Data Center,24Shells Inc,6171 West Century Boulevard,Los Angeles,,CA,USA,,,,,,,https://www.datacenters.com/24shells-inc-lax,,,"6171 West Century Boulevard, Los Angeles, CA, None, USA",,
databank-lga1-downtown-new-york-city,datacenters.com,DataBank: LGA1 - Downtown New York City Data Center,DataBank,60 Hudson Street,New York,,NY,USA,1000000 sqft total space,23940 sqft colocation space,,,,"HIPAA, HITECH, ISO 27001, PCI DSS, Privacy Shield, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/databank-lga1-downtown-new-york-city,,,"60 Hudson Street, New York, NY, None, USA",,
equinix-la2-los-angeles,datacenters.com,,,nan,nan,,Nan,nan,,,,,,,https://www.datacenters.com/equinix-la2-los-angeles,,,None,44.933143,7.540121
datacate-inc-smf1-sacramento-rancho-cordova,datacenters.com,"Datacate, Inc: SMF1 Sacramento Rancho Cordova Data Center","Datacate, Inc",2999 Gold Canal Drive,Rancho Cordova,,CA,USA,18000 sqft total space,12000 sqft colocation space,,1.0 MW total power,,"HIPAA, LEED, SOC 2, SOC 2 Type 1, SOC 2 Type 2, SOC 3",https://www.datacenters.com/datacate-inc-smf1-sacramento-rancho-cordova,1.0,18000.0,"2999 Gold Canal Drive, Rancho Cordova, CA, None, USA",,
dartpoints-dublin,datacenters.com,DartPoints: Dublin Data Center,,565 Metro Pl S #300,Dublin,43017,OH,USA,40000 sqft total space,6000 sqft colocation space,,,,"PCI DSS, SOC 2",https://www.datacenters.com/dartpoints-dublin,,40000.0,"565 Metro Pl S #300, Dublin, OH, 43017, USA",,
lunavi-at1-atlanta,datacenters.com,Lunavi: AT1 Atlanta Data Center,Lunavi,180 Peachtree Street Northeast,Atlanta,,GA,USA,,2500 sqft,,5.0 MW,,"HIPAA, ISO 27001, LEED, PCI DSS, SOC 1, SOC 2",https://www.datacenters.com/lunavi-at1-atlanta,5.0,2500.0,"180 Peachtree Street Northeast, Atlanta, GA, None, USA",,
american-tower-edge-austin,datacenters.com,,,nan,nan,,Nan,nan,,,,,,,https://www.datacenters.com/american-tower-edge-austin,,,None,44.933143,7.540121
dynascale-irvine,datacenters.com,,,nan,nan,,Nan,nan,,,,,,,https://www.datacenters.com/dynascale-irvine,,,None,44.933143,7.540121
itel-networks-inc-albany-washington-ave,datacenters.com,iTel Networks Inc.: Albany Washington Ave Data Center,iTel Networks Inc.,194 Washington Avenue,Albany,,NY,USA,,,,,,,https://www.datacenters.com/itel-networks-inc-albany-washington-ave,,,"194 Washington Avenue, Albany, NY, None, USA",,
dartpoints-asheville,datacenters.com,DartPoints: Asheville Data Center,,100 Technology Dr ste c,Asheville,,NC,USA,23000 sqft total space,11200 sqft colocation space,,,,SOC 2,https://www.datacenters.com/dartpoints-asheville,,23000.0,"100 Technology Dr ste c, Asheville, NC, None, USA",,
